"date","yd1.Store_StaffGage","yp1.in_situ_average","yp2.TerraClimate","yp3.ERA5","yp4.CRUTS_adj","yp5.MERRA2","yp6.CAPA","yp7.NCEP_NARR","ye1.GLEV","ye2.CRUTS_PET","ye3.REA","ye4.ERA5","ye5.MERRA2","ye6.NCEP_NARR","yr1.DWP"
1955-01-01,"30.26720156",4415.1364,,13329.9556708286,15417.6293387069,,,,,5849.41532463161,,1312.6991146132,,,-15.53834787
1955-02-01,"39.394340870000001",5300.165,,7800.8032736907,7586.0815908384,,,,,8483.9231540505,,493.6482576246,,,-19.11196237
1955-03-01,"49.173946919999999",19674.837125,,2025.34257181433,1866.76444891566,,,,,13291.105245918,,602.350400693295,,,-23.758527216
1955-04-01,"64.188369350000002",6417.5527,,10188.2242448354,6455.50396941948,,,,,16805.8619829236,,1783.35295568057,,,-29.8751637
1955-05-01,"190.6537759",5543.8705,,6580.51513823865,8111.3974453701,,,,,24797.3765165385,,4279.3546693968,,,-106.3801556
1955-06-01,"272.1111952",1014.9685,,1219.84122423364,686.018344464765,,,,,31853.3426407069,,12429.4778802113,,,-142.001684872
1955-07-01,"112.3190914",6177.8250375,,3062.44428424575,1517.24884430495,,,,,36042.9408642951,,14408.6916960568,,,-62.87207772
1955-08-01,"36.244108679999997",1582.7321625,,863.503067226975,569.416519062127,,,,,35105.4352660326,,13019.0057080972,,,-35.79039475
1955-09-01,"27.842323189999998",1882.1786625,,3507.77042650765,1988.31752972925,,,,,26233.6428334708,,11280.6286322514,,,-21.76313844
1955-10-01,"22.986874440000001",2643.52396875,,553.335643821645,477.597236271195,,,,,17733.9408583949,,6828.73338180563,,,-10.00386829
1955-11-01,"20.74054031",3640.9191,,4405.9106085183,5500.69565565324,,,,,9330.03543432618,,4480.9982956809,,,-11.263017732
1955-12-01,"68.593270480000001",42765.9277875,,47683.0931687144,40356.535181593,,,,,5778.97331675966,,2710.74722510131,,,-44.40686652
1956-01-01,"70.733341909999993",8959.71735,,16969.7614683113,21234.6927184235,,,,,5789.9383462869,,2101.39792266714,,,-37.16702412
1956-02-01,"65.474459249999995",1683.802575,,8384.42096442247,3931.1995735877,,,,,8379.9180877671,,1510.60781647986,,,-26.134969152
1956-03-01,"69.051166480000006",1316.29155,,804.64532163582,546.90807354456,,,,,14572.6010039423,,1190.74870702599,,,-30.70656437
1956-04-01,"108.4044619",10826.841075,,10942.4750978839,11392.4547583259,,,,,17152.0367136513,,3284.63739607315,,,-43.703978486
1956-05-01,"303.98148570000001",4089.135225,,5272.06771511931,10997.1668074674,,,,,24229.1435418119,,9627.64005537117,,,-169.784261572
1956-06-01,"381.40326920000001",388.168875,,54.632276249475,556.462264007213,,,,,32432.307577144,,13934.690874251,,,-238.348348208
1956-07-01,"209.12728050000001",5256.7116,,5325.11597297484,3498.06127504344,,,,,36285.3565119927,,14457.0558284863,,,-133.348334696
1956-08-01,"50.035467670000003",1625.72356875,,828.31152424254,353.000998306822,,,,,32412.1771487257,,13401.4016536203,,,-66.410033314
1956-09-01,"41.554019189999998",1494.204825,,1307.66077417437,1655.17473252078,,,,,25562.219799739,,9932.63335730577,,,-40.33924783
1956-10-01,"35.074566259999997",4355.0731875,,6817.65738791138,8461.59962787765,,,,,15360.9759823713,,7898.05168999148,,,-19.58301213
1956-11-01,"34.51291818",525.06654375,,544.96084789062,523.499980927612,,,,,10631.2687711125,,3294.74021825466,,,-16.21108512
1956-12-01,"28.20290254",2829.0933,,2580.68174509398,2776.52991670186,,,,,8021.72720422938,,2741.3457178432,,,-15.89940368
1957-01-01,"27.84678151",10944.46273125,,14128.4491371935,13583.0429358031,,,,,6454.12176116336,,1854.65543335852,,,-12.990269328
1957-02-01,"35.156780609999998",9103.1316,,11470.0627483018,8443.30619913795,,,,,7415.76362318553,,224.34791063991,,,-17.867765114
1957-03-01,"46.260584960000003",5536.082625,,8007.32556554532,6945.01349882763,,,,,11370.3911400959,,1965.55181014404,,,-20.555723818
1957-04-01,"67.794054299999999",7055.4399,,6206.72595127516,6153.73709810752,,,,,16937.3917322157,,5531.47312441881,,,-30.016501662
1957-05-01,"151.61930520000001",9776.51656875,,18333.6874447032,13722.3226095251,,,,,22052.4845604245,,9465.71556592786,,,-100.0113418
1957-06-01,"197.6781469",2333.61935625,,941.228184291428,1665.71471090281,,,,,33193.4686175205,,14011.3090078856,,,-155.703536628
1957-07-01,"59.104998299999998",2653.33575,,1018.2777506625,830.5306391814,,,,,36884.5450110687,,15126.2106768444,,,-64.35513956
1957-08-01,"24.275076649999999",3032.87739375,,1112.04358731448,602.272393722975,,,,,33135.1341550397,,13558.4575637157,,,-25.47904743
1957-09-01,"21.393771390000001",673.2534375,,3422.31218486587,2631.47856107212,,,,,24738.9719619401,,9580.80728830538,,,-17.01769504
1957-10-01,"21.366419610000001",4223.05785,,4628.10224009247,5558.31096112269,,,,,13536.0879288517,,7069.36998333803,,,-11.04752946
1957-11-01,"26.284592979999999",3025.14315,,7316.0101990791,5102.01105515016,,,,,8890.57297342278,,3797.85967017955,,,-14.758776992
1957-12-01,"23.77438416",8674.7336,,10437.382890084,16630.9540880842,,,,,6584.5565674752,,2541.92875469424,,,-14.518549036
1958-01-01,"20.187532090000001",4454.568525,6614.15420739426,9571.66221331155,12359.1384903433,,,,,6763.33180765743,,1502.87357754901,,,-10.84192044
1958-02-01,"43.552175929999997",12118.96321875,10425.5884182808,25624.2802850098,17293.2317554365,,,,,6579.87062757146,,899.488614471937,,,-17.358296084
1958-03-01,"55.606055740000002",11078.5221,9043.52762518362,26876.1631170422,20598.873073246,,,,,9552.43031325744,,2339.75417110392,,,-21.378677038
1958-04-01,"86.329243059999996",8551.725,5463.60208428352,19803.9104451893,13128.3137969358,,,,,15655.7170282661,,4100.67608620215,,,-36.505242984
1958-05-01,"235.9436393",6743.0593125,2866.37844548476,1742.22228884435,5185.5684509055,,,,,26822.7847855322,,8867.31969632928,,,-158.697235874
1958-06-01,"305.58839339999997",5614.997325,3696.5689678796,2311.17461711425,4940.69850274161,,,,,28518.8004069819,,13553.0973730958,,,-209.6012142
1958-07-01,"143.7861",3978.02895,2508.47168000016,3538.54587174042,2763.36690655782,,,,,35595.15684857,,14002.308067439,,,-104.606945924
1958-08-01,"48.417578499999998",3111.304875,2612.23081099071,6558.21099794973,3030.90581309187,,,,,33171.4828755138,,12735.8925871834,,,-66.251851034
1958-09-01,"39.081525079999999",2218.39441875,3570.41853012372,1251.02682927916,3485.09790620841,,,,,24302.8488206866,,10742.8907135523,,,-36.61822197
1958-10-01,"28.749321399999999",1913.66998125,177.713892916538,401.92991506116,733.316275610685,,,,,17919.1727446099,,6528.71218568312,,,-18.61782795
1958-11-01,"23.50008991",1943.152575,2167.09159921905,4152.46508305262,3952.32034647429,,,,,9920.04862345959,,3953.48736547485,,,-14.62626341
1958-12-01,"23.558137080000002",2528.316,2184.0000016128,3156.0217088736,4590.6282933504,,,,,7985.5999995072,,2279.7870348288,,,-15.77381183
1959-01-01,"22.591661810000002",5525.382975,5726.2690038192,11589.7247462978,10172.0952674973,,,,,6248.87521373385,,2192.15944113886,,,-12.71248677
1959-02-01,"39.47177705",15491.73285,11964.8544438851,30903.7367457732,21154.9352611141,,,,,7056.81850356737,,1996.43136987922,,,-16.70543156
1959-03-01,"55.441447220000001",1794.303,577.4690958786,2439.40813812825,1566.0605239095,,,,,14251.7129910608,,2880.4918144011,,,-21.176870022
1959-04-01,"88.698871229999995",3975.631425,1213.64490379347,1217.56050318395,2749.37165887549,,,,,20701.1542321152,,6537.80955913177,,,-36.491818094
1959-05-01,"159.9237081",6818.8164,1695.27396335184,6183.51677532864,3524.702201232,,,,,23653.4203642975,,12505.8737842176,,,-92.54261743
1959-06-01,"171.75806750000001",886.060275,79.38854956242,805.12073564103,399.02345646732,,,,,33623.3863305172,,12863.3959871273,,,-95.278799834
1959-07-01,"53.02023475",1854.724725,349.715795643795,2848.13850374707,716.472499335705,,,,,39028.2834922473,,13830.3104979517,,,-30.89727803
1959-08-01,"19.230282410000001",446.7306375,942.669948112185,1757.3763429854,959.062345943273,,,,,32020.9999501062,,13779.3956815332,,,-17.29263326
